month,lat,lon,max_temp_c
static,4.244540,34.203354,701.0000
static,4.244540,34.248270,686.0000
static,4.244540,34.293186,698.0000
static,4.244540,34.338102,708.0000
static,4.244540,34.383017,860.0000
static,4.244540,34.427933,719.0000
static,4.244540,34.472849,581.0000
static,4.244540,34.517765,569.0000
static,4.244540,34.562681,558.0000
static,4.244540,34.607596,547.0000
static,4.244540,34.652512,525.0000
static,4.244540,34.697428,517.0000
static,4.244540,34.742344,511.0000
static,4.244540,34.787259,506.0000
static,4.244540,34.832175,502.0000
static,4.244540,34.877091,504.0000
static,4.244540,34.922007,504.0000
static,4.244540,34.966922,502.0000
static,4.244540,35.011838,501.0000
static,4.244540,35.056754,500.0000
static,4.244540,35.101670,503.0000
static,4.244540,35.146585,516.0000
static,4.244540,35.191501,529.0000
static,4.244540,35.236417,539.0000
static,4.244540,35.281333,551.0000
static,4.244540,35.326249,582.0000
static,4.244540,35.371164,610.0000
static,4.244540,35.416080,628.0000
static,4.244540,35.460996,658.0000
static,4.244540,35.505912,788.0000
static,4.244540,35.550827,969.0000
static,4.244540,35.595743,934.0000
static,4.244540,35.640659,815.0000
static,4.244540,35.685575,650.0000
static,4.244540,35.730490,814.0000
static,4.244540,35.775406,807.0000
static,4.244540,35.820322,670.0000
static,4.244540,35.865238,421.0000
static,4.244540,35.910153,378.0000
static,4.244540,35.955069,361.0000
static,4.244540,35.999985,361.0000
static,4.244540,36.044901,361.0000
static,4.244540,36.089817,361.0000
static,4.244540,36.134732,361.0000
static,4.244540,36.179648,361.0000
static,4.244540,36.224564,378.0000
static,4.244540,36.269480,403.0000
static,4.244540,36.314395,404.0000
static,4.244540,36.359311,451.0000
static,4.244540,36.404227,520.0000
static,4.244540,36.449143,563.0000
static,4.244540,36.494058,605.0000
static,4.244540,36.538974,655.0000
static,4.244540,36.583890,595.0000
static,4.244540,36.628806,574.0000
static,4.244540,36.673721,552.0000
static,4.244540,36.718637,656.0000
static,4.244540,36.763553,767.0000
static,4.244540,36.808469,803.0000
static,4.244540,36.853385,724.0000
static,4.244540,36.898300,736.0000
static,4.244540,36.943216,755.0000
static,4.244540,36.988132,823.0000
static,4.244540,37.033048,1234.0000
static,4.244540,37.077963,888.0000
static,4.244540,37.122879,793.0000
static,4.244540,37.167795,791.0000
static,4.244540,37.212711,815.0000
static,4.244540,37.257626,816.0000
static,4.244540,40.626309,844.0000
static,4.244540,40.671224,813.0000
static,4.244540,40.716140,763.0000
static,4.244540,40.761056,710.0000
static,4.244540,40.805972,548.0000
static,4.244540,40.850888,426.0000
static,4.199624,33.978776,1065.0000
static,4.199624,34.023691,944.0000
static,4.199624,34.068607,810.0000
static,4.199624,34.113523,777.0000
static,4.199624,34.158439,748.0000
static,4.199624,34.203354,723.0000
static,4.199624,34.248270,703.0000
static,4.199624,34.293186,688.0000
static,4.199624,34.338102,649.0000
static,4.199624,34.383017,637.0000
static,4.199624,34.427933,620.0000
static,4.199624,34.472849,587.0000
static,4.199624,34.517765,574.0000
static,4.199624,34.562681,560.0000
static,4.199624,34.607596,547.0000
static,4.199624,34.652512,529.0000
static,4.199624,34.697428,521.0000
static,4.199624,34.742344,515.0000
static,4.199624,34.787259,510.0000
static,4.199624,34.832175,507.0000
static,4.199624,34.877091,508.0000
static,4.199624,34.922007,508.0000
static,4.199624,34.966922,506.0000
static,4.199624,35.011838,504.0000
static,4.199624,35.056754,504.0000
static,4.199624,35.101670,507.0000
static,4.199624,35.146585,520.0000
static,4.199624,35.191501,530.0000
static,4.199624,35.236417,543.0000
static,4.199624,35.281333,557.0000
static,4.199624,35.326249,591.0000
